Symbol,DATE,Open Price,Prev Close,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
RELIANCE,05-Jul-2016,986.1,986.7,1002.9,980.3,991.2,993.1,994.43,2596678,2582210954.35,52194
RELIANCE,07-Jul-2016,992.5,993.1,1000.5,986.15,988.1,987.9,992.38,2749648,2728683064.85,101086
RELIANCE,08-Jul-2016,987,987.9,989,976.35,977.6,978.4,982.34,1632225,1603394588.25,47260
RELIANCE,11-Jul-2016,991,978.4,994.95,985.5,991.55,992.5,991.25,1889606,1873068862.95,44114
RELIANCE,12-Jul-2016,995.25,992.5,1005,991,1003.4,1003.4,998.38,2232685,2229070183.65,58174
RELIANCE,13-Jul-2016,1005.2,1003.4,1016.7,1004.15,1008,1008.75,1010.89,3409386,3446506825.55,75726
RELIANCE,14-Jul-2016,1008.1,1008.75,1014.1,998.25,1004.2,1004.9,1006.27,2459183,2474605486.7,94968
RELIANCE,15-Jul-2016,1009,1004.9,1021,1003.5,1014.35,1012.2,1013.32,3198562,3241175868.6,75448
RELIANCE,18-Jul-2016,1028,1012.2,1038.75,1001.75,1002.9,1006.25,1024.42,7339086,7518309445.05,170099
RELIANCE,19-Jul-2016,1006,1006.25,1022.95,995.3,1022.5,1017.8,1010.24,3805750,3844707695.25,108195
RELIANCE,20-Jul-2016,1019.95,1017.8,1028.3,1016.55,1022.75,1023,1022.31,2803645,2866191224.7,86184
RELIANCE,21-Jul-2016,1024,1023,1025,1005,1006.2,1006.35,1011.19,1534044,1551205388.6,42542
RELIANCE,22-Jul-2016,1006,1006.35,1017.8,1005.1,1015.9,1014.85,1013.37,1577114,1598204862.3,45519
RELIANCE,25-Jul-2016,1014,1014.85,1023.75,1007.35,1020.5,1022.75,1016.5,1883884,1914975225.6,65866
RELIANCE,26-Jul-2016,1023,1022.75,1034.8,1015.2,1022.25,1024.05,1028.33,2403872,2471965450.8,73738
RELIANCE,27-Jul-2016,1023.05,1024.05,1026,1008.95,1011.2,1013.1,1017.1,2521448,2564577315.7,44577
RELIANCE,28-Jul-2016,1014.95,1013.1,1030.5,1013.05,1024,1026.35,1022.77,3568375,3649633313.7,57410
RELIANCE,29-Jul-2016,1024,1026.35,1024.9,1012,1016.05,1014.9,1016.04,2201164,2236478542.1,59232
RELIANCE,01-Aug-2016,1018,1014.9,1020.3,1005.05,1009,1009.5,1012.34,1823694,1846202181.85,39583
